title,budget,popularity,release_date,revenue,runtime,vote_average,vote_count
Maleficent,180000000,19.467404000000002,2014,758539785,97,7.0,4607
The Bucket List,45000000,9.070642999999999,2007,175372502,97,7.0,1138
Juno,7500000,11.791591,2007,231411584,96,7.0,2313
Ant-Man,130000000,26.882388,2015,519311965,117,7.0,6029
22 Jump Street,50000000,10.901496,2014,188441614,112,7.0,3375
Superbad,20000000,16.205105,2007,121463226,113,7.0,2152
Scream,14000000,13.326443,1996,173046663,111,7.0,1520
Bridge to Terabithia,60000000,8.460206,2007,137587063,96,7.0,1146
Lethal Weapon,15000000,13.183804,1987,120207127,110,7.0,1367
300,65000000,18.108407999999997,2006,422610419,117,7.0,5092
Watchmen,130000000,16.551503,2009,185258983,163,7.0,2892
Sunshine,50000000,12.715571,2007,32017803,107,7.0,1210
The Maze Runner,34000000,76.93789,2014,348319861,113,7.0,5540
John Wick,20000000,183.870374,2014,88761661,101,7.0,5499
Peter Pan,4000000,16.861532999999998,1953,87404651,77,7.0,1380
War Horse,66000000,8.166363,2011,177584879,146,7.0,1016
The NeverEnding Story,27000000,14.225919000000001,1984,20158808,102,7.0,1031
Split,9000000,28.920839,2016,276921998,117,7.0,4461
Monsters University,200000000,16.267502,2013,743559607,104,7.0,3622
Pretty Woman,14000000,13.348451,1990,463000000,119,7.0,1807
127 Hours,18000000,11.176797,2010,35692920,94,7.0,2668
Mud,10000000,7.8815789999999994,2013,21587700,130,7.0,1080
The Impossible,42000000,10.027434,2012,180274123,113,7.0,2071
The Hobbit: An Unexpected Journey,250000000,23.253089000000003,2012,1021103568,169,7.0,8427
The Aviator,116000000,9.86738,2004,102000000,170,7.0,1526
Silver Linings Playbook,21000000,14.488110999999998,2012,205738714,122,7.0,4840
Love Actually,40000000,10.586815,2003,244931766,135,7.0,1917
"Crazy, Stupid, Love.",50000000,10.246172999999999,2011,142851197,118,7.0,2522
Blue Jasmine,18000000,12.61244,2013,99206215,98,7.0,1126
One Day,15000000,11.239011999999999,2011,59389433,107,7.0,1006
Collateral,65000000,13.455112,2004,217764291,120,7.0,1476
The Vow,30000000,9.524298,2012,196114570,104,7.0,1328
Rise of the Planet of the Apes,93000000,41.613762,2011,482860185,105,7.0,4452
Moneyball,50000000,15.785663000000001,2011,110206216,133,7.0,1409
50/50,8000000,11.869481,2011,39187783,100,7.0,1287
Robin Hood,15000000,11.179855,1973,32056467,83,7.0,1155
Sherlock Holmes: A Game of Shadows,125000000,18.695329,2011,334615000,129,7.0,3971
Hugo,170000000,14.046164000000001,2011,185770160,126,7.0,2197
Despicable Me 2,76000000,24.82355,2013,970761885,98,7.0,4729
The Town,37000000,13.081203,2010,154026136,125,7.0,1516
Sully,60000000,18.275689,2016,238470033,96,7.0,2106
Snowden,40000000,14.384554,2016,37279439,134,7.0,1285
Pirates of the Caribbean: Dead Man's Chest,200000000,29.455314,2006,1065659812,151,7.0,5380
The Devil Wears Prada,35000000,13.102383999999999,2006,326551094,109,7.0,3198
Batman,35000000,19.10673,1989,411348924,126,7.0,2145
The Secret Life of Walter Mitty,90000000,8.684892,2013,188133322,114,7.0,3213
Invictus,60000000,9.109838,2009,122233971,134,7.0,1150
Mrs. Doubtfire,25000000,11.16553,1993,441286195,125,7.0,1638
Lord of War,42000000,8.745216000000001,2005,24127895,122,7.0,1356
Sherlock Holmes,90000000,15.68604,2009,524028679,128,7.0,5883
The Nice Guys,50000000,16.075615,2016,62788218,116,7.0,2382
The Conjuring 2,40000000,14.767317,2016,320170008,134,7.0,2018
Notting Hill,42000000,9.874042999999999,1999,363889678,124,7.0,1309
Big,18000000,9.562292,1988,151668774,104,6.9,1022
Jumanji,65000000,17.015539,1995,262797249,104,6.9,2413
Divergent,85000000,21.572585,2014,288747895,139,6.9,4784
Cube,250000,12.095263000000001,1997,501818,90,6.9,1101
Sleepy Hollow,100000000,11.072361,1999,206071502,105,6.9,1774
Marley & Me,60000000,9.729747999999999,2008,244082376,115,6.9,1392
Gremlins,11000000,11.333125,1984,153083102,106,6.9,1629
Superman,55000000,15.460102,1978,300218018,143,6.9,1042
I Am Legend,150000000,11.379355,2007,585349010,101,6.9,4977
Men in Black,90000000,15.781023999999999,1997,589390539,98,6.9,4521
Skyfall,200000000,20.309585000000002,2012,1108561013,143,6.9,7718
The Hunger Games,75000000,20.031667000000002,2012,691210692,142,6.9,9634
Kung Fu Panda,130000000,16.897541,2008,631744560,90,6.9,3231
Unbreakable,75000000,14.67855,2000,248118121,106,6.9,1994
Meet Joe Black,90000000,14.026744,1998,142940100,178,6.9,1174
Troy,175000000,15.387275,2004,497409852,163,6.9,2841
Shooter,61000000,14.246917999999999,2007,95696996,124,6.9,1495
Mean Girls,17000000,11.454835000000001,2004,129042871,97,6.9,2401
Die Hard: With a Vengeance,90000000,15.138855,1995,366101666,128,6.9,2094
Pirates of the Caribbean: At World's End,300000000,31.363664,2007,961000000,169,6.9,4627
The Walk,35000000,9.425787,2015,61181942,123,6.9,1151
Babel,25000000,12.60853,2006,135330182,143,6.9,1083
From Dusk Till Dawn,19000000,15.339153,1996,25836616,108,6.9,1644
Pinocchio,2600000,14.202283999999999,1940,84300000,88,6.9,1412
The Simpsons Movie,75000000,14.302910999999998,2007,527068851,87,6.9,2335
Snow White and the Seven Dwarfs,1488423,16.263878,1937,184925486,83,6.9,1973
The Rock,75000000,13.249823999999998,1996,335062621,136,6.9,1474
Equilibrium,20000000,12.671636999999999,2002,5359645,107,6.9,1584
Collateral Beauty,36000000,14.575883,2016,87416021,97,6.9,1553
Spy,65000000,13.257467000000002,2015,235666219,120,6.9,2590
Ghost,22000000,11.945397,1990,505000000,127,6.9,1381
The Accountant,44000000,13.465656,2016,155160045,128,6.9,2121
3:10 to Yuma,55000000,18.079094,2007,70016220,122,6.9,1210
The Place Beyond the Pines,15000000,7.4926580000000005,2013,35485608,140,6.8,1689
Sleeping Beauty,6000000,14.276169,1959,51000000,75,6.8,1332
The Road,32000000,14.958098000000001,2009,27635305,111,6.8,1113
Steve Jobs,30000000,16.224866,2015,34441873,122,6.8,1608
A.I. Artificial Intelligence,100000000,13.249364000000002,2001,235926552,146,6.8,2011
Sinister,3000000,12.490637,2012,77712439,110,6.8,1611
Hotel Transylvania,85000000,16.231945,2012,358375603,91,6.8,2622
The Hunchback of Notre Dame,100000000,13.553999,1996,100138851,91,6.8,1182
Rush Hour,33000000,11.840557,1998,244386864,98,6.8,1254
X2,110000000,0.9130959999999999,2003,407711549,133,6.8,3572
The Spectacular Now,2500000,8.098964,2013,6854611,95,6.8,1074
8 Mile,41000000,8.374355,2002,215000000,110,6.8,1676
Non-Stop,50000000,19.650229,2014,222809600,106,6.8,2302
One Hundred and One Dalmatians,4000000,15.727519000000001,1961,215880014,79,6.8,1643
A Monster Calls,43000000,24.483893,2016,46652768,108,6.8,1023
Speed,30000000,10.859292,1994,350448145,116,6.8,1814
School of Rock,35000000,17.951420000000002,2003,131282949,108,6.8,1454
Insidious,1500000,17.24814,2010,97009150,103,6.8,1775
Iron Man 3,200000000,23.721242999999998,2013,1215439994,130,6.8,8951
Bambi,858000,13.698132000000001,1942,267447150,70,6.8,1450
The Patriot,110000000,15.960788,2000,215294342,165,6.8,1130
The Croods,135000000,14.757874,2013,585178928,98,6.8,2447
True Lies,115000000,11.396099000000001,1994,378882411,141,6.8,1138
Face/Off,80000000,11.467391000000001,1997,245676146,138,6.8,1612
Finding Dory,200000000,14.477677,2016,1028570889,97,6.8,4333
Pitch Perfect 2,29000000,15.862632000000001,2015,287506194,115,6.8,1997
Home,135000000,13.422713,2015,368871007,94,6.8,1539
Insomnia,46000000,11.424974,2002,113714830,118,6.8,1181
10 Cloverfield Lane,15000000,14.421528,2016,108286421,103,6.8,2537
The Fate of the Furious,250000000,48.573287,2017,1238764765,136,6.8,3803
American Hustle,40000000,16.478036,2013,251171807,138,6.8,2868
Beauty and the Beast,160000000,287.253654,2017,1262886337,129,6.8,5530
The DUFF,8500000,8.592449,2015,43528634,100,6.8,1372
Spider-Man,139000000,29.413341,2002,821708551,121,6.8,5398
A Bug's Life,120000000,16.869208999999998,1998,363258859,95,6.8,2379
Mission: Impossible - Ghost Protocol,145000000,14.258429999999999,2011,694713380,133,6.8,4026
Thor: The Dark World,170000000,34.905446999999995,2013,644571402,112,6.8,4873
Dumbo,812000,14.655879,1941,1600000,64,6.8,1206
Big Eyes,10000000,7.412826,2014,28883511,105,6.8,1236
Cinderella,2900000,14.436857999999999,1950,263591415,74,6.8,1760
Sing,75000000,20.045673,2016,632443719,108,6.8,2363
Dawn of the Dead,28000000,13.157873,2004,102356381,101,6.8,1039
We're the Millers,37000000,18.474368,2013,269994119,110,6.8,3053
Lawless,26000000,7.968423,2012,53676580,115,6.8,1055
War Dogs,40000000,16.453573,2016,86234523,114,6.8,1392
X-Men,75000000,0.954467,2000,296339527,104,6.8,4172
Pacific Rim,180000000,33.949359,2013,407602906,131,6.7,4903
Escape Plan,50000000,14.191610999999998,2013,122915111,115,6.7,1688
The World's End,20000000,9.830382,2013,46089287,109,6.7,1820
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,18.13542,2005,748806957,143,6.7,2709
Now You See Me 2,90000000,39.540653,2016,334901337,129,6.7,3362
Don't Breathe,9900000,25.869883,2016,157100845,88,6.7,1830
World War Z,200000000,26.114917000000002,2013,531865000,116,6.7,5683
Top Gun,15000000,20.301019,1986,356830601,110,6.7,1736
Easy A,8000000,15.138144,2010,74952305,92,6.7,2282
Brave,185000000,15.876341,2012,538983207,93,6.7,4760
War for the Planet of the Apes,152000000,146.161786,2017,369907963,140,6.7,1675
The Adventures of Tintin,130000000,19.201504,2011,371940071,107,6.7,2095
In Time,40000000,10.324613000000001,2011,173930596,109,6.7,3512
Spider-Man 2,200000000,10.834506,2004,783766341,127,6.7,4432
Anchorman: The Legend of Ron Burgundy,26000000,10.330119999999999,2004,90574188,94,6.7,1523
"I, Robot",120000000,14.43075,2004,347234916,115,6.7,3889
Pitch Black,23000000,6.424399,2000,53187659,108,6.7,1812
Pocahontas,55000000,13.280069000000001,1995,346079773,81,6.7,1509
John Wick: Chapter 2,40000000,49.247505,2017,171539887,122,6.7,2924
21 Jump Street,42000000,11.250764,2012,201585328,109,6.7,4151
Shrek 2,150000000,16.229860000000002,2004,919838758,93,6.7,3082
Fast & Furious 6,160000000,1.6576369999999998,2013,788679850,130,6.7,5282
Kung Fu Panda 2,150000000,11.481921,2011,665692281,91,6.7,1925
Passengers,110000000,20.303632,2016,303144152,116,6.7,4134
Hook,70000000,14.508137,1991,300854823,144,6.7,1563
Lemony Snicket's A Series of Unfortunate Events,140000000,12.817945,2004,209073645,108,6.7,1521
Seven Psychopaths,15000000,9.643538000000001,2012,19422261,110,6.7,1224
Trolls,125000000,16.83711,2016,346864462,92,6.7,1054
Charlie and the Chocolate Factory,150000000,22.038404999999997,2005,474968763,115,6.7,3759
Lincoln,65000000,10.680330999999999,2012,275293450,149,6.7,1456
Zero Dark Thirty,40000000,9.649303,2012,132820716,157,6.7,1723
Megamind,130000000,11.603905000000001,2010,321887208,95,6.7,1968
Kung Fu Panda 3,145000000,14.696548,2016,521170825,95,6.7,1630
Enemy of the State,90000000,12.978750999999999,1998,250649836,132,6.7,1266
The Princess and the Frog,105000000,16.616517,2009,267045765,97,6.7,1293
Orphan,20000000,8.730934,2009,41596251,123,6.7,1296
Step Up,12000000,14.21769,2006,114194847,104,6.7,1092
The Proposal,40000000,8.058337,2009,317375031,108,6.7,1858
Everest,55000000,10.758754,2015,203427584,121,6.7,1805
Phone Booth,13000000,9.142772,2002,97837138,81,6.7,1087
Mission: Impossible,80000000,15.793477,1996,457696359,110,6.7,2677
The Gift,5000000,8.585856,2015,58978653,108,6.7,1077
The Holiday,85000000,14.043416,2006,194168700,136,6.7,1259
Lethal Weapon 2,25000000,12.834276,1989,227853986,114,6.7,1066
Valkyrie,75000000,8.635464,2008,200276000,121,6.7,1195
Starship Troopers,105000000,14.412644,1997,121214377,129,6.7,1584
The Jungle Book,175000000,17.432758,2016,966550600,106,6.7,2977
Death Proof,25000000,13.412137,2007,25037897,113,6.7,1359
Vicky Cristina Barcelona,15000000,9.648539,2008,96408652,96,6.7,1050
Red Dragon,78000000,2.968157,2002,209196298,124,6.7,1142
The Lobster,4000000,11.223033000000001,2015,15656193,118,6.7,1340
Focus,50100000,10.035362,2015,153962963,105,6.7,2588
Cinderella,95000000,19.801128,2015,543514353,105,6.7,2426
Romeo + Juliet,14500000,11.774061,1996,147298761,120,6.7,1406
The Mist,18000000,8.435642,2007,57096190,126,6.7,1438
Atlantis: The Lost Empire,120000000,10.901602,2001,186053725,95,6.7,1257
Independence Day,75000000,17.634197,1996,816969268,145,6.7,3334
Hotel Transylvania 2,80000000,11.760218,2015,473226958,89,6.7,1528
Up in the Air,25000000,8.338562,2009,163670000,109,6.7,1246
The Matrix Reloaded,150000000,16.229317,2003,738599701,138,6.7,3500
Pearl Harbor,140000000,11.419388,2001,449220945,183,6.6,1833
Dredd,50000000,12.1524,2012,41037742,95,6.6,1971
The Hunger Games: Mockingjay - Part 2,160000000,26.628178000000002,2015,653428261,137,6.6,4117
Super 8,50000000,19.529911,2011,260095987,112,6.6,2496
A Christmas Carol,200000000,12.869273,2009,325233863,96,6.6,1137
Pineapple Express,27000000,8.461369,2008,101624843,111,6.6,1169
Looper,30000000,12.727269,2012,47042000,118,6.6,4777
50 First Dates,75000000,11.134888,2004,196482882,99,6.6,2161
Captain America: The First Avenger,140000000,19.323582000000002,2011,370569774,124,6.6,7174
Thor,150000000,29.158489000000003,2011,449326618,115,6.6,6678
Star Trek Beyond,185000000,20.659284,2016,343471816,122,6.6,2636
Ender's Game,110000000,12.500305,2013,125537191,114,6.6,2354
The Good Dinosaur,175000000,12.319595,2015,331926147,93,6.6,1782
Meet the Parents,55000000,14.178281,2000,330444045,108,6.6,1743
King Kong,207000000,19.761164,2005,550000000,187,6.6,2403
The Cabin in the Woods,30000000,14.811957999999999,2012,66486080,95,6.6,2314
Chappie,49000000,30.206365,2015,104399548,120,6.6,3124
Cloud Atlas,102000000,13.494245999999999,2012,130482868,172,6.6,3031
The Transporter,21000000,13.217421,2002,43928932,92,6.6,1724
GoldenEye,58000000,14.686035999999998,1995,352194034,130,6.6,1194
The Book of Eli,80000000,14.39853,2010,157107755,118,6.6,2207
The Italian Job,60000000,13.995044,2003,176070171,110,6.6,1949
Enchanted,85000000,11.447797999999999,2007,340487652,107,6.6,1512
Real Steel,110000000,19.265552,2011,299268508,127,6.6,2749
Dear John,25000000,8.371478999999999,2010,114977104,115,6.6,1302
Die Hard 2,70000000,18.785984,1990,240031094,124,6.6,1920
It Follows,2000000,20.359336,2015,14674076,100,6.6,1894
Panic Room,48000000,14.969501999999999,2002,196397415,111,6.6,1303
Batman Returns,80000000,15.001681,1992,280000000,126,6.6,1706
Pirates of the Caribbean: Dead Men Tell No Tales,230000000,133.82782,2017,794191988,129,6.6,2814
Cars,120000000,18.907948,2006,461983149,117,6.6,3991
Chronicle,15000000,12.47441,2012,145000000,84,6.6,1965
Transformers,150000000,5.587707,2007,709709780,144,6.6,4113
Disturbia,20000000,18.006895999999998,2007,117760134,105,6.6,1038
The Hunger Games: Mockingjay - Part 1,125000000,147.098006,2014,752100229,123,6.6,5767
The Purge: Anarchy,9000000,27.756026000000002,2014,108782847,104,6.6,2008
2 Guns,61000000,13.336511999999999,2013,131940411,109,6.6,1611
RED,58000000,12.595165,2010,71664962,111,6.6,2858
The Mummy,80000000,23.984065,1999,415885488,124,6.6,2796
Blended,40000000,10.395472,2014,123494610,117,6.6,1028
Underworld,22000000,20.624333,2003,95708457,121,6.6,2556
Déjà Vu,75000000,14.922904,2006,180557550,126,6.6,1519
The Call,13000000,8.611077,2013,68572378,94,6.6,1275
The Fast and the Furious,38000000,1.406181,2001,207283925,106,6.6,3485
9,30000000,18.502876999999998,2009,48428063,79,6.6,1291
Mad Max,400000,11.412619,1979,100000000,93,6.6,1235
Love & Other Drugs,30000000,7.575696000000001,2010,102820008,112,6.6,1268
Madagascar,75000000,16.136217000000002,2005,532680671,86,6.6,3322
Kingdom of Heaven,130000000,16.296471,2005,211643158,144,6.6,1187
The Lovely Bones,65000000,12.738789,2009,93525586,136,6.6,1101
Rango,135000000,10.581925,2011,245724603,107,6.6,2094
Crank,12000000,12.627593,2006,42931041,88,6.6,1172
Allied,85000000,13.085186,2016,119520023,124,6.6,1415
Constantine,100000000,9.615691,2005,230884728,121,6.6,1837
Iron Man 2,200000000,19.083344,2010,623933331,124,6.6,6969
The Mask,23000000,14.134879999999999,1994,351583407,101,6.6,2550
Bridget Jones's Diary,25000000,10.780524,2001,281929795,97,6.6,1397
The Hitchhiker's Guide to the Galaxy,50000000,13.257254999999999,2005,104478416,109,6.6,1340
Money Monster,27000000,11.953822,2016,93282604,98,6.5,1096
Miss Peregrine's Home for Peculiar Children,110000000,36.262655,2016,296485719,127,6.5,3213
Man of Steel,225000000,18.538834,2013,662845518,143,6.5,6462
The Amazing Spider-Man 2,200000000,26.23687,2014,705717432,142,6.5,4274
The Heat,43000000,12.706403,2013,158674180,117,6.5,1595
King Arthur: Legend of the Sword,175000000,44.251369,2017,146175066,126,6.5,1506
Deepwater Horizon,110000000,13.1984,2016,121790373,107,6.5,1478
Austin Powers: International Man of Mystery,16500000,11.749158999999999,1997,67683989,94,6.5,1033
Blade,45000000,15.043454,1998,131183530,120,6.5,1950
Alice Through the Looking Glass,170000000,14.61608,2016,299370084,113,6.5,1782
Space Jam,80000000,11.054250999999999,1996,250200000,88,6.5,1335
Project X,12000000,9.803023,2012,100000000,88,6.5,1624
Bad Boys,19000000,9.262184,1995,141407024,118,6.5,1729
Armageddon,140000000,13.235111999999999,1998,553799566,151,6.5,2540
Maze Runner: The Scorch Trials,61000000,41.225769,2015,311256926,132,6.5,3148
Penguins of Madagascar,132000000,22.201607,2014,373552094,92,6.5,1375
Jurassic World,150000000,32.790475,2015,1513528810,124,6.5,8842
The Babadook,2000000,8.832788,2014,6676471,93,6.5,1890
In the Heart of the Sea,100000000,11.696923,2015,93820758,122,6.5,1300
Con Air,75000000,11.545982,1997,224012234,115,6.5,1289
Flight,31000000,10.973822,2012,161772375,138,6.5,2449
There's Something About Mary,23000000,11.688958,1998,369884651,119,6.5,1616
Dumb and Dumber,16000000,9.844558000000001,1994,247275374,107,6.5,1894
The Amazing Spider-Man,215000000,31.102266999999998,2012,752215857,136,6.5,6734
Cloudy with a Chance of Meatballs,100000000,11.665693,2009,242988466,90,6.5,1799
Hellboy II: The Golden Army,85000000,11.928661,2008,160388063,120,6.5,1555
Paul,40000000,10.24382,2011,97552050,104,6.5,1825
Vanilla Sky,68000000,10.071057000000001,2001,203388341,136,6.5,1100
Mr. & Mrs. Smith,110000000,15.724373000000002,2005,478207520,120,6.5,3048
The Da Vinci Code,125000000,18.566706,2006,767820459,149,6.5,2773
Mission: Impossible III,150000000,15.687983,2006,397850012,126,6.5,2062
Burn After Reading,37000000,13.206798999999998,2008,163720069,96,6.5,1251
The Island,126000000,11.443647,2005,162949164,136,6.5,1813
Tropic Thunder,92000000,8.980941,2008,188072649,107,6.5,1707
Step Brothers,65000000,8.579638000000001,2008,128107642,98,6.5,1084
The Tree of Life,32000000,11.204539,2011,54674226,139,6.5,1009
21,35000000,8.33756,2008,69823199,123,6.5,1406
Bridesmaids,32500000,6.8109910000000005,2011,288383523,125,6.5,1697
Rio,90000000,10.403228,2011,484635760,96,6.5,2213
Hanna,30000000,8.071196,2011,63782078,111,6.5,1284
The Ring,48000000,13.740965,2002,249348933,115,6.5,1720
Ice Age: The Meltdown,80000000,16.646029000000002,2006,660940780,91,6.5,3034
Unknown,30000000,14.443598999999999,2011,130786397,113,6.5,1288
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,18000000,8.278336,2006,261572744,82,6.5,1617
The Adjustment Bureau,50200000,9.420301,2011,127869379,106,6.5,1677
The Princess Diaries,37000000,7.387171,2001,165335153,115,6.5,1063
Hellboy,66000000,13.206854000000002,2004,99318987,122,6.5,2278
Friends with Benefits,35000000,10.009007,2011,150483765,109,6.5,2306
Angels & Demons,150000000,22.211558,2009,356613439,138,6.5,2183
Chicken Run,45000000,11.834245,2000,224834564,84,6.5,1190
Fast & Furious,85000000,1.498902,2009,363164265,107,6.5,2426
Public Enemies,80000000,10.364794,2009,214104620,140,6.5,1371
1408,25000000,9.196883999999999,2007,94679598,104,6.5,1372
Ocean's Thirteen,85000000,12.16276,2007,311312624,122,6.5,2040
Ice Age: Dawn of the Dinosaurs,90000000,12.980624,2009,886686817,94,6.5,2330
28 Weeks Later,15000000,12.884191,2007,64238440,100,6.5,1225
Underworld: Evolution,50000000,12.496805,2006,111340801,106,6.4,1548
Demolition Man,57000000,11.626116,1993,159055768,115,6.4,1018
Signs,72000000,11.211568,2002,408247917,106,6.4,1624
Live Free or Die Hard,110000000,14.886039000000002,2007,383531464,128,6.4,2122
Epic,100000000,11.913405000000001,2013,268426634,102,6.4,1143
Forgetting Sarah Marshall,30000000,15.106676,2008,105173115,111,6.4,1194
Warm Bodies,35000000,10.430238000000001,2013,116980662,97,6.4,2698
Rambo,50000000,9.915560000000001,2008,113244290,92,6.4,1009
Oblivion,120000000,14.654053,2013,286168572,124,6.4,4862
The Ugly Truth,38000000,8.450799,2009,205298907,96,6.4,1005
X-Men: Apocalypse,178000000,28.712521999999996,2016,543934787,144,6.4,4831
Evil Dead,17000000,12.01525,2013,97542952,91,6.4,1754
Cloverfield,25000000,12.868098,2008,170764026,85,6.4,2297
Minions,74000000,547.4882980000001,2015,1156730962,91,6.4,4729
Star Wars: Episode II - Attack of the Clones,120000000,14.072510999999999,2002,649398328,142,6.4,4074
Elysium,115000000,15.232738000000001,2013,286140700,109,6.4,3510
Bruce Almighty,80000000,15.947524,2003,484572835,101,6.4,3121
Side Effects,30000000,11.645847,2013,63372757,106,6.4,1340
Crimson Peak,55000000,13.492683999999999,2015,74679822,119,6.4,1494
Joy,60000000,12.975936,2015,101134059,124,6.4,1619
Night at the Museum,110000000,16.661966,2006,574480841,108,6.4,2949
Mamma Mia!,52000000,10.534436999999999,2008,609841637,108,6.4,1435
Let's Be Cops,17000000,15.962793,2014,136621271,104,6.4,1234
Ace Ventura: Pet Detective,15000000,11.247957000000001,1994,107217396,86,6.4,1684
The Grey,25000000,14.31675,2012,77278331,117,6.4,1476
Hannibal,87000000,2.48875,2001,351692268,131,6.4,1296
Alice in Wonderland,200000000,17.285093,2010,1025491110,108,6.4,4773
Final Destination,23000000,14.961416,2000,53302314,98,6.4,1416
Yes Man,70000000,9.756289,2008,225990978,104,6.4,1869
Rush Hour 2,90000000,8.345985,2001,347325802,90,6.4,1078
The Giver,25000000,12.472206,2014,66980456,94,6.4,1859
Secret Window,40000000,9.524283,2004,92913171,96,6.4,1007
The Polar Express,165000000,14.275360000000001,2004,305875730,100,6.4,1524
Horrible Bosses,35000000,9.856955000000001,2011,117000000,98,6.4,2341
National Treasure,100000000,18.932203,2004,347451894,131,6.4,1974
Ocean's Twelve,110000000,11.869347,2004,362744280,125,6.4,2169
Elf,32000000,8.754132,2003,173398518,97,6.4,1007
American Pie,11000000,18.344227,1999,235483004,95,6.4,2358
Wanted,75000000,12.457896,2008,258270008,110,6.4,2583
The Matrix Revolutions,150000000,15.368205,2003,424988211,129,6.4,3155
Star Wars: Episode I - The Phantom Menace,115000000,15.649091,1999,924317558,136,6.4,4526
Wedding Crashers,40000000,11.100597,2005,285176741,119,6.4,1406
Pirates of the Caribbean: On Stranger Tides,380000000,27.88772,2011,1045713802,136,6.4,5068
Resident Evil,33000000,7.781292999999999,2002,102984862,100,6.4,2100
Madagascar 3: Europe's Most Wanted,145000000,13.829042000000001,2012,746921274,93,6.4,1857
Liar Liar,45000000,10.102471000000001,1997,302710615,86,6.4,1456
Bolt,150000000,15.580915,2008,309979994,98,6.3,1798
Oculus,5000000,8.698042999999998,2013,44030246,104,6.3,1079
Lucy,40000000,36.447603,2014,126546825,89,6.3,6048
Warcraft,160000000,12.572718,2016,433677183,123,6.3,2325
Run All Night,50000000,16.838145,2015,71561644,114,6.3,1169
The Mask of Zorro,95000000,11.348096,1998,250288523,136,6.3,1211
Kick-Ass 2,28000000,13.570264000000002,2013,60700000,103,6.3,2275
The Chronicles of Narnia: Prince Caspian,225000000,12.490891,2008,419651413,150,6.3,1668
Blade II,54000000,17.050639999999998,2002,155010032,117,6.3,1556
Machete,20000000,7.120403,2010,31327899,105,6.3,1171
Eagle Eye,80000000,14.324875,2008,178066569,118,6.3,1038
White House Down,150000000,9.920223,2013,205366737,131,6.3,1910
The Wolverine,120000000,3.9182870000000003,2013,415440673,126,6.3,4110
Sin City: A Dame to Kill For,65000000,20.623642,2014,39407616,102,6.3,1314
Insidious: Chapter 3,10000000,10.098792,2015,104303851,97,6.3,1005
The Number 23,30000000,8.140941,2007,77566815,101,6.3,1045
The Blair Witch Project,60000,14.838385999999998,1999,248000000,81,6.3,1090
Safe House,85000000,8.338675,2012,208076205,115,6.3,1361
Why Him?,38000000,14.531429,2016,118034273,111,6.3,1203
Saw II,4000000,15.399863,2005,152925093,92,6.3,1288
Bad Boys II,130000000,8.191436,2003,273339556,147,6.3,1588
Just Go with It,80000000,9.267959,2011,214918407,117,6.3,1588
Life,58000000,36.263803,2017,100541806,103,6.3,1959
Lights Out,4900000,11.494907,2016,148868835,81,6.3,1174
13 Going on 30,37000000,12.632595,2004,96455697,98,6.3,1260
The Chronicles of Riddick,105000000,5.060352,2004,115772733,119,6.3,1593
Bad Moms,20000000,9.362056,2016,183936074,100,6.3,1287
The Lorax,70000000,7.689394999999999,2012,348840316,86,6.3,1048
Ted,50000000,19.638605,2012,549368315,106,6.3,4811
Home Alone 2: Lost in New York,18000000,13.293722,1992,358991681,120,6.3,2459
Prometheus,130000000,16.624854,2012,403170142,124,6.3,5152
Men in Black 3,225000000,10.684385,2012,624026776,106,6.3,4228
Power Rangers,100000000,23.247298,2017,142337240,124,6.3,1321
The Mechanic,40000000,9.832342,2011,51070807,93,6.3,1066
TRON: Legacy,170000000,21.259,2010,400062763,125,6.3,2895
The Witch,3500000,11.840138,2016,40423945,92,6.3,1471
Unstoppable,100000000,12.697059,2010,167805466,98,6.3,1193
Self/less,26000000,25.301568,2015,30523226,116,6.3,1122
The Beach,40000000,14.430310999999998,2000,144056873,119,6.3,1271
Black Mass,53000000,10.61072,2015,98837872,122,6.3,1262
Jack Reacher,60000000,12.789812,2012,218340595,130,6.3,3046
Spectre,245000000,24.926576999999998,2015,880674609,148,6.3,4552
X-Men: The Last Stand,210000000,0.867943,2006,459359555,104,6.3,3581
Over the Hedge,80000000,9.382953,2006,343397247,83,6.3,1116
Silent Hill,50000000,7.9384570000000005,2006,97607453,125,6.3,1093
Ghostbusters II,37000000,16.414239000000002,1989,215394738,108,6.3,1131
Hitch,70000000,13.350760000000001,2005,368100420,118,6.3,1721
X-Men Origins: Wolverine,150000000,1.456541,2009,373062864,107,6.2,4086
The Other Woman,40000000,9.389353999999999,2014,196781193,109,6.2,1467
DodgeBall: A True Underdog Story,20000000,11.967379,2004,167722310,92,6.2,1009
Neighbors,18000000,11.90575,2014,268157400,96,6.2,2773
Underworld: Rise of the Lycans,35000000,11.654958,2009,91353501,92,6.2,1447
Kong: Skull Island,185000000,29.429112,2017,566652812,118,6.2,3161
Despicable Me 3,80000000,36.631519,2017,1020063384,96,6.2,2002
The Village,60000000,8.172707,2004,256697520,108,6.2,1101
The Day After Tomorrow,125000000,15.049695000000002,2004,544272402,124,6.2,2462
The 40 Year Old Virgin,26000000,11.519662,2005,109449237,116,6.2,2020
A Walk Among the Tombstones,28000000,14.914924,2014,53181600,113,6.2,1145
