,title,budget,popularity,release_year,revenue,runtime,vote_average,vote_count
302,Get Out,"5,216,238.27",36.894806,2017,"263,351,439.11",104,7.2,2978
303,Crash,"8,798,570.67",9.785147,2004,"133,210,442.55",112,7.2,1172
304,The Judge,"54,013,519.22",17.887943,2014,"90,439,575.46",141,7.2,1433
305,Corpse Bride,"52,370,711.73",12.920032,2005,"153,439,718.88",77,7.2,1957
306,Baby Driver,"35,470,420.24",228.032744,2017,"234,220,906.85",113,7.2,2083
307,Saw,"1,624,351.51",23.508433,2004,"140,657,563.60",103,7.2,2255
308,The Butler,"27,435,622.32",11.061894,2013,"127,215,880.46",132,7.2,1134
309,Match Point,"19,639,016.90",9.020372,2005,"111,688,888.03",124,7.2,1134
310,Chef,"11,882,974.23",8.720309,2014,"49,657,798.81",114,7.2,1203
311,Les Misérables,"67,934,233.45",13.52408,2012,"492,032,918.94",157,7.2,1925
312,Life of Pi,"133,641,114.98",14.045042,2012,"678,247,106.58",127,7.2,5912
313,End of Watch,"7,795,731.71",7.4527899999999985,2012,"53,597,196.82",109,7.2,1186
314,The Girl with the Dragon Tattoo,"102,325,477.99",8.907829,2011,"264,474,330.15",158,7.2,2479
315,Fantastic Beasts and Where to Find Them,"191,775,000.00",41.05142100000001,2016,"862,286,809.55",133,7.2,5612
316,True Grit,"44,551,123.34",10.730765,2010,"295,768,960.27",110,7.2,1701
317,The Fighter,"29,309,949.56",14.141837,2010,"109,756,392.49",116,7.2,1512
318,Sicario,"32,367,088.61",19.511221,2015,"90,655,701.06",121,7.2,2465
319,Wonder Woman,"155,443,900.45",294.337037,2017,"856,068,626.27",141,7.2,5025
320,Avatar,"282,521,678.32",185.070892,2009,"3,323,462,343.80",162,7.2,12114
321,The Blind Side,"34,570,163.17",12.753109,2009,"368,599,368.82",129,7.2,1626
322,Law Abiding Citizen,"63,179,953.38",16.639047,2009,"151,024,795.52",109,7.2,1522
323,The Lego Batman Movie,"83,459,812.32",17.070748000000002,2017,"325,441,506.28",104,7.2,1473
324,Bridge of Spies,"43,156,118.14",13.707888,2015,"178,535,078.41",141,7.2,2633
325,Zombieland,"28,132,960.37",11.063029,2009,"122,058,164.93",88,7.2,3655
326,(500) Days of Summer,"8,940,559.44",16.376657,2009,"72,386,028.36",95,7.2,2993
327,The Hangover,"41,722,610.72",23.947351,2009,"547,484,835.80",100,7.2,6324
328,Brooklyn,"11,867,932.49",7.991613,2015,"66,974,131.87",111,7.2,1235
329,Nocturnal Animals,"23,971,875.00",18.908782000000002,2016,"31,166,610.31",116,7.2,1990
330,Taken,"29,691,128.66",16.367481,2008,"269,394,223.12",93,7.2,4444
331,Hell or High Water,"12,785,000.00",12.565896,2016,"40,048,262.45",102,7.2,1304
332,Gone Baby Gone,"23,436,082.97",6.148516000000001,2007,"42,702,638.85",113,7.2,1034
333,Stardust,"86,343,463.58",14.784525,2007,"167,210,316.68",127,7.2,1215
334,Arrival,"50,074,583.33",30.83786,2016,"216,693,163.17",113,7.2,5729
335,Scott Pilgrim vs. the World,"70,343,878.95",13.793301,2010,"55,881,832.81",112,7.2,2185
336,The Hurt Locker,"17,814,677.19",9.403724,2008,"49,881,096.14",131,7.2,1881
337,The Devil's Advocate,"90,809,345.79",10.920124,1997,"243,663,237.15",144,7.2,1414
338,A Nightmare on Elm Street,"4,429,836.38",13.694713,1984,"62,767,121.98",91,7.2,1212
339,Contact,"143,383,177.57",14.374866,1997,"272,619,739.10",150,7.2,1338
340,Black Hawk Down,"132,831,168.83",10.064446,2001,"249,765,408.02",144,7.2,1832
341,Interview with the Vampire,"103,522,267.21",11.970205,1994,"385,904,455.23",123,7.2,1558
342,Fear and Loathing in Las Vegas,"29,021,165.64",9.220346,1998,"16,754,271.89",118,7.2,1321
343,Ocean's Eleven,"122,724,449.46",12.114932,2001,"650,753,107.03",116,7.2,3857
344,First Blood,"39,746,113.99",14.778884,1982,"331,781,757.02",93,7.2,1523
345,Grease,"23,530,674.85",7.854899,1978,"713,033,450.75",110,7.2,1633
346,The Fugitive,"77,860,207.61",10.08937,1993,"652,744,164.93",130,7.2,1240
347,Close Encounters of the Third Kind,"84,389,438.94",10.610446,1977,"1,281,827,623.26",135,7.2,1122
348,The Emperor's New Groove,"148,490,127.76",12.297375,2000,"251,434,898.76",78,7.2,1544
349,Goldfinger,"20,620,967.74",13.78884,1964,"1,030,067,340.43",110,7.2,1005
350,Who Framed Roger Rabbit,"151,301,775.15",16.78596,1988,"712,856,061.37",104,7.2,1466
351,The Little Mermaid,"82,483,870.97",17.496832,1989,"458,404,112.90",83,7.2,1921
352,Enemy at the Gates,"98,179,559.57",10.704813,2001,"140,015,992.32",131,7.2,1023
353,Home Alone,"35,214,996.17",0.702543,1990,"932,580,500.36",103,7.1,2487
354,Mission: Impossible - Rogue Nation,"161,835,443.04",17.836882,2015,"736,168,002.29",131,7.1,3274
355,The Social Network,"46,895,919.30",16.972995,2010,"263,696,123.55",120,7.1,3492
356,The Illusionist,"50,734,126.98",11.494009,2006,"110,238,937.73",110,7.1,1657
357,The Naked Gun: From the Files of Police Squad!,"25,937,447.17",15.698222,1988,"170,227,848.34",85,7.1,1020
358,Tarzan,"230,222,088.84",12.453452,1999,"687,596,638.66",88,7.1,1715
359,Despicable Me,"80,895,460.80",22.274502,2010,"637,214,699.52",95,7.1,6595
360,Beetlejuice,"32,421,808.96",10.627364,1988,"158,492,210.45",92,7.1,1475
361,Nerve,"20,242,916.67",14.9837,2016,"90,817,710.53",96,7.1,2262
362,The Intern,"37,761,603.38",15.651704999999998,2015,"209,916,399.28",121,7.1,1926
363,Back to the Future Part III,"78,255,547.05",13.043999,1990,"478,390,994.44",118,7.1,2978
364,The Fly,"34,995,437.96",13.534589000000002,1986,"141,449,598.14",96,7.1,1038
365,Identity,"41,690,217.39",17.955897,2003,"125,431,322.58",90,7.1,1090
366,Kick-Ass,"32,827,143.51",17.26045,2010,"112,771,675.82",117,7.1,4747
367,The Jungle Book,"30,622,754.49",22.845448,1967,"1,575,874,598.46",78,7.1,1791
368,Gangs of New York,"142,134,519.18",14.922399,2002,"275,417,616.86",167,7.1,1964
369,28 Days Later,"7,106,725.96",17.656951,2002,"117,573,510.81",113,7.1,1816
370,Indiana Jones and the Temple of Doom,"68,908,565.93",15.802306,1984,"819,519,730.51",118,7.1,2841
371,The Aristocats,"26,360,824.74",9.834047,1970,"366,911,423.06",78,7.1,1287
372,The Equalizer,"59,414,871.14",17.618057,2014,"207,769,200.28",132,7.1,2997
373,Perfume: The Story of a Murderer,"63,417,658.73",10.297304,2006,"167,651,332.30",147,7.1,1198
374,The Godfather: Part III,"105,644,988.52",17.185349,1990,"267,567,575.01",162,7.1,1589
375,The Man from U.N.C.L.E.,"80,917,721.52",14.656875,2015,"116,678,077.52",116,7.1,2306
376,Dirty Dancing,"13,505,281.69",14.044122,1987,"481,585,456.53",100,7.1,1371
377,Star Wars: Episode III - Revenge of the Sith,"147,947,260.62",13.165420999999998,2005,"1,112,877,624.17",140,7.1,4200
378,Minority Report,"144,977,209.56",20.666063,2002,"509,371,635.23",145,7.1,2663
379,Dracula,"72,900,926.59",16.777675,1992,"393,414,756.55",128,7.1,1087
380,RoboCop,"29,261,443.66",13.485582999999998,1987,"119,296,654.93",102,7.1,1494
381,Captain America: Civil War,"266,354,166.67",145.882135,2016,"1,228,749,830.71",147,7.1,7462
382,X-Men: First Class,"181,911,960.87",0.738633,2011,"402,052,861.30",132,7.1,5252
383,Fast Five,"142,118,719.43",1.420361,2011,"711,887,076.47",130,7.1,2491
384,Eyes Wide Shut,"99,762,905.16",13.268484,1999,"248,779,843.25",159,7.1,1266
385,Total Recall,"127,165,263.96",12.954444,1990,"511,239,421.57",113,7.1,1745
386,Source Code,"36,382,392.17",9.796962,2011,"167,509,873.82",93,7.1,2752
387,Argo,"49,558,580.14",14.238234,2012,"258,733,795.86",120,7.1,3473
388,Wreck-It Ralph,"183,756,533.10",13.697597,2012,"524,789,602.43",108,7.1,4656
389,The Hobbit: The Battle of the Five Armies,"270,067,596.11",31.718977,2014,"1,032,759,863.93",144,7.1,4884
390,The Terminal,"81,217,575.44",14.092373,2004,"297,008,957.67",128,7.1,1974
391,Lilo & Stitch,"113,707,615.34",18.469238,2002,"207,191,659.00",85,7.1,1371
392,Airplane!,"10,861,043.69",13.063203,1980,"258,969,295.17",88,7.1,1104
393,Limitless,"30,697,643.40",12.114955,2011,"184,014,698.28",105,7.1,3888
394,Rise of the Guardians,"161,483,013.94",10.943775,2012,"341,833,558.45",97,7.1,1981
395,Ice Age,"83,859,366.31",17.328902,2002,"544,740,687.47",81,7.1,3954
396,Doctor Strange,"175,793,750.00",43.847654,2016,"722,052,473.34",115,7.1,5880
397,Sweeney Todd: The Demon Barber of Fleet Street,"61,673,902.56",10.038401,2007,"187,488,663.77",116,7.0,1745
398,Alice in Wonderland,"29,503,846.15",16.488937,1951,"5,625,400,000.00",75,7.0,1557
399,P.S. I Love You,"37,004,341.53",10.304881,2007,"193,452,948.30",126,7.0,1011
400,Maleficent,"194,448,669.20",19.467404,2014,"819,428,065.16",97,7.0,4607
401,The Bucket List,"55,506,512.30",9.070643,2007,"216,318,131.99",97,7.0,1138
402,Juno,"9,251,085.38",11.791591,2007,"285,441,109.64",96,7.0,2313
403,Ant-Man,"140,257,383.97",26.882388,2015,"560,287,212.87",117,7.0,6029
404,22 Jump Street,"54,013,519.22",10.901496,2014,"203,567,894.80",112,7.0,3375
405,Superbad,"24,669,561.02",16.205105,2007,"149,822,223.29",113,7.0,2152
406,Scream,"22,815,806.25",13.326443,1996,"282,014,223.89",111,7.0,1520
407,Bridge to Terabithia,"74,008,683.07",8.460206,2007,"169,710,622.33",96,7.0,1146
408,Lethal Weapon,"33,763,204.23",13.183804,1987,"270,571,851.88",110,7.0,1367
409,300,"82,442,956.35",18.108408,2006,"536,019,266.56",117,7.0,5092
410,Watchmen,"154,969,696.97",16.551503,2009,"220,842,526.59",163,7.0,2892
411,Sunshine,"61,673,902.56",12.715571,2007,"39,493,257.25",107,7.0,1210
412,The Maze Runner,"36,729,193.07",76.93789,2014,"376,279,630.16",113,7.0,5540
413,John Wick,"21,605,407.69",183.870374,2014,"95,886,593.65",101,7.0,5499
414,Peter Pan,"38,164,179.10",16.861532999999998,1953,"833,931,688.83",77,7.0,1380
415,War Horse,"75,038,683.86",8.166363,2011,"201,905,084.75",146,7.0,1016
416,The NeverEnding Story,"66,447,545.72",14.225919,1984,"49,611,233.93",102,7.0,1031
417,Split,"9,588,750.00",28.920839,2016,"295,037,312.04",117,7.0,4461
418,Monsters University,"219,484,978.54",16.267502,2013,"816,000,821.93",104,7.0,3622
419,Pretty Woman,"27,389,441.47",13.348451,1990,"905,807,957.15",119,7.0,1807
420,127 Hours,"21,103,163.69",11.176797,2010,"41,846,307.40",94,7.0,2668
421,Mud,"10,974,248.93",7.881578999999999,2013,"23,690,879.36",130,7.0,1080
422,The Impossible,"46,774,390.24",10.027434,2012,"200,766,956.67",113,7.0,2071
423,The Hobbit: An Unexpected Journey,"278,418,989.55",23.253089000000006,2012,"1,137,178,494.50",169,7.0,8427
424,The Aviator,"157,020,645.84",9.86738,2004,"138,069,878.24",170,7.0,1526
425,Silver Linings Playbook,"23,387,195.12",14.488110999999998,2012,"229,126,259.45",122,7.0,4840
426,Love Actually,"55,586,956.52",10.586815,2003,"340,375,285.69",135,7.0,1917
427,"Crazy, Stupid, Love.","56,847,487.77",10.246173,2011,"162,414,633.49",118,7.0,2522
428,Blue Jasmine,"19,753,648.07",12.61244,2013,"108,871,369.85",98,7.0,1126
429,One Day,"17,054,246.33",11.239012,2011,"67,522,801.33",107,7.0,1006
430,Collateral,"87,985,706.72",13.455112,2004,"294,771,462.20",120,7.0,1476
431,The Vow,"33,410,278.75",9.524298,2012,"218,408,081.66",104,7.0,1328
432,Rise of the Planet of the Apes,"105,736,327.26",41.613762,2011,"548,987,769.25",105,7.0,4452
433,Moneyball,"56,847,487.77",15.785663,2011,"125,298,930.33",133,7.0,1409
434,50/50,"9,095,598.04",11.869481,2011,"44,554,540.30",100,7.0,1287
435,Robin Hood,"86,385,135.14",11.179855,1973,"184,613,482.25",83,7.0,1155
436,Sherlock Holmes: A Game of Shadows,"142,118,719.43",18.695329,2011,"380,440,442.42",129,7.0,3971
437,Hugo,"193,281,458.43",14.046164,2011,"211,211,337.98",126,7.0,2197
438,Despicable Me 2,"83,404,291.85",24.82355,2013,"1,065,338,257.49",98,7.0,4729
439,The Town,"43,378,725.36",13.081203,2010,"180,579,931.11",125,7.0,1516
440,Sully,"63,925,000.00",18.275689,2016,"254,069,947.66",96,7.0,2106
441,Snowden,"42,616,666.67",14.384554000000001,2016,"39,718,135.63",134,7.0,1285
442,Pirates of the Caribbean: Dead Man's Chest,"253,670,634.92",29.455314,2006,"1,351,633,005.60",151,7.0,5380
443,The Devil Wears Prada,"44,392,361.11",13.102384,2006,"414,182,116.75",109,7.0,3198
444,Batman,"72,173,387.10",19.10673,1989,"848,241,289.25",126,7.0,2145
445,The Secret Life of Walter Mitty,"98,768,240.34",8.684892,2013,"206,462,190.71",114,7.0,3213
446,Invictus,"71,524,475.52",9.109838,2009,"145,712,011.12",134,7.0,1150
447,Mrs. Doubtfire,"44,238,754.33",11.16553,1993,"780,878,062.71",125,7.0,1638
448,Lord of War,"54,989,247.31",8.745216000000001,2005,"31,589,875.84",122,7.0,1356
449,Sherlock Holmes,"107,286,713.29",15.68604,2009,"624,681,273.75",128,7.0,5883
450,The Nice Guys,"53,270,833.33",16.075615,2016,"66,895,613.93",116,7.0,2382
451,The Conjuring 2,"42,616,666.67",14.767317000000002,2016,"341,114,462.69",134,7.0,2018
452,Notting Hill,"64,462,184.87",9.874043,1999,"558,502,945.17",124,7.0,1309
453,Big,"38,906,170.75",9.562292,1988,"327,825,067.72",104,6.9,1022
454,Jumanji,"109,058,398.95",17.015539,1995,"440,926,880.38",104,6.9,2413
455,Divergent,"91,822,982.68",21.572585,2014,"311,925,799.54",139,6.9,4784
456,Cube,"398,286.60",12.095263,1997,"799,469.55",90,6.9,1101
457,Sleepy Hollow,"153,481,392.56",11.072361,1999,"316,281,410.93",105,6.9,1774
458,Marley & Me,"71,258,708.78",9.729748,2008,"289,883,249.16",115,6.9,1392
459,Gremlins,"27,071,222.33",11.333125,1984,"376,740,608.10",106,6.9,1629
460,Superman,"215,697,852.76",15.460102,1978,"1,177,388,760.78",143,6.9,1042
461,I Am Legend,"185,021,707.67",11.379355,2007,"722,015,156.09",101,6.9,4977
462,Men in Black,"143,383,177.57",15.781024,1997,"938,985,425.68",98,6.9,4521
463,Skyfall,"222,735,191.64",20.309585,2012,"1,234,577,748.36",143,6.9,7718
464,The Hunger Games,"83,525,696.86",20.031667,2012,"769,784,729.72",142,6.9,9634
465,Kung Fu Panda,"154,393,869.02",16.897541,2008,"750,288,360.39",90,6.9,3231
466,Unbreakable,"111,367,595.82",14.67855,2000,"368,430,914.86",106,6.9,1994
467,Meet Joe Black,"141,184,049.08",14.026744,1998,"224,231,801.04",178,6.9,1174
468,Troy,"236,884,595.02",15.387275,2004,"673,307,036.30",163,6.9,2841
469,Shooter,"75,242,161.12",14.246918,2007,"118,040,144.13",124,6.9,1495
470,Mean Girls,"23,011,646.37",11.454835,2004,"174,675,818.50",97,6.9,2401
471,Die Hard: With a Vengeance,"151,003,937.01",15.138855,1995,"614,253,254.57",128,6.9,2094
472,Pirates of the Caribbean: At World's End,"370,043,415.34",31.363664,2007,"1,185,372,407.14",169,6.9,4627
473,The Walk,"37,761,603.38",9.425787,2015,"66,009,377.93",123,6.9,1151
474,Babel,"31,708,829.37",12.60853,2006,"171,646,465.96",143,6.9,1083
475,From Dusk Till Dawn,"30,964,308.48",15.339153,1996,"42,105,944.62",108,6.9,1644
476,Pinocchio,"47,487,142.86",14.202284,1940,"1,539,679,285.71",88,6.9,1412
477,The Simpsons Movie,"92,510,853.84",14.302910999999998,2007,"650,127,859.14",87,6.9,2335
478,Snow White and the Seven Dwarfs,"26,429,844.52",16.263878,1937,"3,283,711,581.26",83,6.9,1973
479,The Rock,"122,227,533.46",13.249823999999998,1996,"546,051,702.93",136,6.9,1474
480,Equilibrium,"28,426,903.84",12.671637,2002,"7,617,905.65",107,6.9,1584
481,Collateral Beauty,"38,355,000.00",14.575883,2016,"93,134,485.71",97,6.9,1553
482,Spy,"70,128,691.98",13.257467000000002,2015,"254,260,979.74",120,6.9,2590
483,Ghost,"43,040,550.88",11.945397,1990,"987,976,281.56",127,6.9,1381
484,The Accountant,"46,878,333.33",13.465656,2016,"165,310,097.94",128,6.9,2121
485,3:10 to Yuma,"67,841,292.81",18.079094,2007,"86,363,470.59",122,6.9,1210
486,The Place Beyond the Pines,"16,461,373.39",7.492658,2013,"38,942,789.55",140,6.8,1689
487,Sleeping Beauty,"52,541,095.89",14.276169,1959,"446,599,315.07",75,6.8,1332
488,The Road,"38,146,386.95",14.958098,2009,"32,943,344.93",111,6.8,1113
489,Steve Jobs,"32,367,088.61",16.224866,2015,"37,159,438.51",122,6.8,1608
490,A.I. Artificial Intelligence,"144,381,705.25",13.249364000000002,2001,"340,634,778.92",146,6.8,2011
491,Sinister,"3,341,027.87",12.490637,2012,"86,546,474.97",110,6.8,1611
492,Hotel Transylvania,"94,662,456.45",16.231945,2012,"399,114,293.06",91,6.8,2622
493,The Hunchback of Notre Dame,"162,970,044.61",13.553999,1996,"163,196,330.15",91,6.8,1182
494,Rush Hour,"51,767,484.66",11.840557,1998,"383,372,522.24",98,6.8,1254
495,X2,"152,864,130.43",0.913096,2003,"566,586,103.69",133,6.8,3572
496,The Spectacular Now,"2,743,562.23",8.098964,2013,"7,522,420.74",95,6.8,1074
497,8 Mile,"58,275,152.86",8.374355,2002,"305,589,216.23",110,6.8,1676
498,Non-Stop,"54,013,519.22",19.650229,2014,"240,694,612.25",106,6.8,2302
499,One Hundred and One Dalmatians,"34,207,357.86",15.727519,1961,"1,846,171,223.40",79,6.8,1643
500,A Monster Calls,"45,812,916.67",24.483893,2016,"49,704,636.57",108,6.8,1023
501,Speed,"51,761,133.60",10.859292,1994,"604,653,108.48",116,6.8,1814
502,School of Rock,"48,638,586.96",17.951420000000006,2003,"182,440,489.45",108,6.8,1454
503,Insidious,"1,758,596.97",17.24814,2010,"113,733,331.75",103,6.8,1775
504,Iron Man 3,"219,484,978.54",23.721243,2013,"1,333,854,105.00",130,6.8,8951
505,Bambi,"13,459,546.01",13.698132,1942,"4,195,474,616.87",70,6.8,1450
506,The Patriot,"163,339,140.53",15.960788,2000,"319,690,843.49",165,6.8,1130
507,The Croods,"148,152,360.52",14.757874,2013,"642,189,922.27",98,6.8,2447
508,True Lies,"198,417,678.81",11.396099,1994,"653,712,769.86",141,6.8,1138
509,Face/Off,"127,451,713.40",11.467391,1997,"391,398,071.85",138,6.8,1612
510,Finding Dory,"213,083,333.33",14.477676999999998,2016,"1,095,856,567.99",97,6.8,4333
511,Pitch Perfect 2,"31,288,185.65",15.862632,2015,"310,191,281.88",115,6.8,1997
512,Home,"145,651,898.73",13.422713,2015,"397,976,018.94",94,6.8,1539
513,Insomnia,"65,381,878.82",11.424974,2002,"161,628,026.85",118,6.8,1181
514,10 Cloverfield Lane,"15,981,250.00",14.421528,2016,"115,370,157.71",103,6.8,2537
515,The Fate of the Furious,"260,811,913.50",48.573287,2017,"1,292,338,434.97",136,6.8,3803
516,American Hustle,"43,896,995.71",16.478036,2013,"275,642,193.35",138,6.8,2868
517,Beauty and the Beast,"166,919,624.64",287.253654,2017,"1,317,503,208.37",129,6.8,5530
518,The DUFF,"9,170,675.11",8.592449,2015,"46,963,171.79",100,6.8,1372
519,Spider-Man,"197,566,981.66",29.413341,2002,"1,167,931,498.00",121,6.8,5398
520,A Bug's Life,"188,245,398.77",16.869208999999998,1998,"569,848,406.42",95,6.8,2379
521,Mission: Impossible - Ghost Protocol,"164,857,714.54",14.25843,2011,"789,854,207.50",133,6.8,4026
522,Thor: The Dark World,"186,562,231.76",34.905446999999995,2013,"707,368,701.68",112,6.8,4873
523,Dumbo,"14,124,380.95",14.655879,1941,"27,831,292.52",64,6.8,1206
524,Big Eyes,"10,802,703.84",7.412826,2014,"31,202,001.53",105,6.8,1236
525,Cinderella,"30,768,879.67",14.436858,1950,"2,796,693,975.75",74,6.8,1760
526,Sing,"79,906,250.00",20.045673,2016,"673,816,078.95",108,6.8,2363
527,Dawn of the Dead,"37,901,535.20",13.157873,2004,"138,552,284.92",101,6.8,1039
528,We're the Millers,"40,604,721.03",18.474368,2013,"296,298,267.07",110,6.8,3053
529,Lawless,"28,955,574.91",7.968423,2012,"59,778,316.66",115,6.8,1055
530,War Dogs,"42,616,666.67",16.453573000000002,2016,"91,875,698.05",114,6.8,1392
531,X-Men,"111,367,595.82",0.954467,2000,"440,034,942.24",104,6.8,4172
532,Pacific Rim,"197,536,480.69",33.949359,2013,"447,313,575.38",131,6.7,4903
533,Escape Plan,"54,871,244.64",14.191610999999998,2013,"134,890,102.50",115,6.7,1688
534,The World's End,"21,948,497.85",9.830382,2013,"50,579,530.84",109,6.7,1820
535,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","235,668,202.76",18.13542,2005,"980,388,832.08",143,6.7,2709
536,Now You See Me 2,"95,887,500.00",39.540653000000006,2016,"356,809,466.13",129,6.7,3362
537,Don't Breathe,"10,547,625.00",25.869882999999998,2016,"167,377,858.61",88,6.7,1830
538,World War Z,"219,484,978.54",26.114917,2013,"583,681,890.56",116,6.7,5683
539,Top Gun,"34,995,437.96",20.301019,1986,"832,496,210.54",110,6.7,1736
540,Easy A,"9,379,183.86",15.138144,2010,"87,873,931.17",92,6.7,2282
541,Brave,"206,030,052.26",15.876341,2012,"600,252,639.50",93,6.7,4760
542,War for the Planet of the Apes,"158,573,643.41",146.161786,2017,"385,905,614.60",140,6.7,1675
543,The Adventures of Tintin,"147,803,468.21",19.201504,2011,"422,877,172.76",107,6.7,2095
544,In Time,"45,477,990.22",10.324613,2011,"197,750,348.59",109,6.7,3512
545,Spider-Man 2,"270,725,251.46",10.834506,2004,"1,060,926,698.75",127,6.7,4432
546,Anchorman: The Legend of Ron Burgundy,"35,194,282.69",10.33012,2004,"122,603,599.11",94,6.7,1523
547,"I, Robot","162,435,150.87",14.43075,2004,"470,026,299.74",115,6.7,3889
548,Pitch Black,"34,152,729.38",6.424399,2000,"78,978,422.80",108,6.7,1812
549,Pocahontas,"92,280,183.73",13.280069,1995,"580,660,091.58",81,6.7,1509
550,John Wick: Chapter 2,"41,729,906.16",49.247505,2017,"178,958,584.68",122,6.7,2924
551,21 Jump Street,"46,774,390.24",11.250764,2012,"224,500,733.32",109,6.7,4151
552,Shrek 2,"203,043,938.59",16.229860000000002,2004,"1,245,117,895.29",93,6.7,3082
553,Fast & Furious 6,"175,587,982.83",1.6576369999999998,2013,"865,516,899.76",130,6.7,5282
554,Kung Fu Panda 2,"170,542,463.32",11.481921,2011,"756,858,676.09",91,6.7,1925
555,Passengers,"117,195,833.33",20.303632,2016,"322,974,831.94",116,6.7,4134
556,Hook,"131,417,033.77",14.508137,1991,"564,820,691.93",144,6.7,1563
557,Lemony Snicket's A Series of Unfortunate Events,"189,507,676.02",12.817945,2004,"283,007,575.58",108,6.7,1521
558,Seven Psychopaths,"16,705,139.37",9.643538,2012,"21,630,105.13",110,6.7,1224
559,Trolls,"133,177,083.33",16.83711,2016,"369,555,178.89",92,6.7,1054
560,Charlie and the Chocolate Factory,"196,390,168.97",22.038405,2005,"621,861,304.14",115,6.7,3759
561,Lincoln,"72,388,937.28",10.680331,2012,"306,587,696.71",149,6.7,1456
562,Zero Dark Thirty,"44,547,038.33",9.649303,2012,"147,919,238.16",157,6.7,1723
563,Megamind,"152,411,737.73",11.603905,2010,"377,379,913.28",95,6.7,1968
564,Kung Fu Panda 3,"154,485,416.67",14.696548000000002,2016,"555,264,083.14",95,6.7,1630
565,Enemy of the State,"141,184,049.08",12.978751,1998,"393,197,319.42",132,6.7,1266
566,The Princess and the Frog,"125,167,832.17",16.616517,2009,"318,338,471.38",97,6.7,1293
567,Orphan,"23,841,491.84",8.730934,2009,"49,585,833.94",123,6.7,1296
568,Step Up,"15,220,238.10",14.21769,2006,"144,839,396.72",104,6.7,1092
569,The Proposal,"47,682,983.68",8.058337,2009,"378,334,710.61",108,6.7,1858
570,Everest,"59,339,662.45",10.758754,2015,"219,478,621.22",121,6.7,1805
571,Phone Booth,"18,477,487.49",9.142772,2002,"139,060,345.67",81,6.7,1087
572,Mission: Impossible,"130,376,035.69",15.793477,1996,"745,907,960.46",110,6.7,2677
573,The Gift,"5,394,514.77",8.585856,2015,"63,632,242.92",108,6.7,1077
574,The Holiday,"107,810,019.84",14.043416,2006,"246,274,487.05",136,6.7,1259
575,Lethal Weapon 2,"51,552,419.35",12.834276,1989,"469,856,969.52",114,6.7,1066
576,Valkyrie,"89,073,385.97",8.635464,2008,"237,856,819.32",121,6.7,1195
577,Starship Troopers,"167,280,373.83",14.412644,1997,"193,112,250.46",129,6.7,1584
578,The Jungle Book,"186,447,916.67",17.432758,2016,"1,029,779,118.42",106,6.7,2977
579,Death Proof,"30,836,951.28",13.412137,2007,"30,883,696.40",113,6.7,1359
580,Vicky Cristina Barcelona,"17,814,677.19",9.648539,2008,"114,499,267.61",96,6.7,1050
581,Red Dragon,"110,864,924.96",2.968157,2002,"297,340,152.30",124,6.7,1142
582,The Lobster,"4,315,611.81",11.223033,2015,"16,891,512.87",118,6.7,1340
583,Focus,"54,053,037.97",10.035362,2015,"166,111,095.52",105,6.7,2588
584,Cinderella,"102,495,780.59",19.801128,2015,"586,399,240.77",105,6.7,2426
585,Romeo + Juliet,"23,630,656.47",11.774061,1996,"240,052,856.52",120,6.7,1406
586,The Mist,"22,202,604.92",8.435642,2007,"70,426,897.17",126,6.7,1438
587,Atlantis: The Lost Empire,"173,258,046.30",10.901602,2001,"268,627,540.84",95,6.7,1257
588,Independence Day,"122,227,533.46",17.634197,1996,"1,331,415,180.55",145,6.7,3334
589,Hotel Transylvania 2,"86,312,236.29",11.760218,2015,"510,565,962.70",89,6.7,1528
590,Up in the Air,"29,801,864.80",8.338562,2009,"195,106,848.48",109,6.7,1246
591,The Matrix Reloaded,"208,451,086.96",16.229317,2003,"1,026,412,736.66",138,6.7,3500
592,Pearl Harbor,"202,134,387.35",11.419388,2001,"648,592,860.74",183,6.6,1833
593,Dredd,"55,683,797.91",12.1524,2012,"45,702,746.64",95,6.6,1971
594,The Hunger Games: Mockingjay - Part 2,"172,624,472.57",26.628178,2015,"704,985,680.75",137,6.6,4117
595,Super 8,"56,847,487.77",19.529911,2011,"295,716,068.81",112,6.6,2496
596,A Christmas Carol,"238,414,918.41",12.869273,2009,"387,703,024.56",96,6.6,1137
597,Pineapple Express,"32,066,418.95",8.461369,2008,"120,694,251.53",111,6.6,1169
598,Looper,"33,410,278.75",12.727269,2012,"52,389,544.43",118,6.6,4777
599,50 First Dates,"101,521,969.30",11.134888,2004,"265,964,388.18",99,6.6,2161
600,Captain America: The First Avenger,"159,172,965.76",19.323582,2011,"421,319,213.93",124,6.6,7174
601,Thor,"170,542,463.32",29.158489000000007,2011,"510,861,788.45",115,6.6,6678
602,Star Trek Beyond,"197,102,083.33",20.659284,2016,"365,940,597.30",122,6.6,2636
603,Ender's Game,"120,716,738.20",12.500305,2013,"137,767,638.36",114,6.6,2354
604,The Good Dinosaur,"188,808,016.88",12.319595,2015,"358,116,100.37",93,6.6,1782
605,Meet the Parents,"81,669,570.27",14.178281,2000,"490,676,784.59",108,6.6,1743
606,King Kong,"271,018,433.18",19.761164,2005,"720,097,286.23",187,6.6,2403
